#{"t_start": 1760492384.346347, "env_id": "Hopper-v4"}
r,l,t
3263.522697,1000,0.774973
1314.273451,382,1.062622
3238.87643,1000,2.145813
3239.751292,1000,2.913915
1482.80917,435,3.230647
3245.788409,1000,4.044426
1728.824694,495,4.418337
3250.431164,1000,5.255667
3254.732578,1000,6.193514
3246.091254,1000,7.05174
3245.20836,1000,7.909532
1730.872359,496,8.328078
1746.868448,505,8.728028
3262.815338,1000,9.697513
3260.515326,1000,10.688683
2062.903228,600,11.305776
3261.948534,1000,12.64437
3246.765458,1000,13.747217
3232.20878,1000,14.654702
3252.193337,1000,15.607445
3258.920413,1000,16.56008
3240.53464,1000,17.43288
3238.516498,1000,18.463222
3234.14121,1000,19.499473
3250.84971,1000,20.349595
3245.751743,1000,21.17656
3232.910845,1000,22.088041
1995.327636,580,22.643989
3242.222842,1000,23.641476
3237.431266,1000,24.58227
3253.498491,1000,25.395379
3239.896834,1000,26.352996
3250.092301,1000,27.275924
3255.557768,1000,28.549116
3253.463355,1000,29.712729
3239.534843,1000,30.746379
3251.500184,1000,31.702972
3242.649822,1000,32.634996
3248.769398,1000,33.526154
3269.790674,1000,34.31166
3249.70175,1000,35.09337
1949.482992,562,35.519539
3262.396036,1000,36.282741
3252.869854,1000,37.059448
3248.828275,1000,37.82808
3237.896939,1000,38.586584
3237.718257,1000,39.344221
3246.67236,1000,40.076521
3252.233133,1000,40.818476
3256.098813,1000,41.578981
